,production
1193,24502
1194,22363
1195,21112
1196,20704
1197,20781
1198,21035
1199,21477
1200,22583
1201,23371
1202,24761
1203,25701
1204,26329
1205,26894
1206,27152
1207,26218
1208,25063
1209,24187
1210,24105
1211,24435
1212,24881
1213,24877
1214,25674
1215,26706
1216,27588
1217,26708
1218,24423
1219,22849
1220,22465
1221,22517
1222,22415
1223,22228
1224,22911
1225,23802
1226,24407
1227,25175
1228,25608
1229,25891
1230,25876
1231,24610
1232,23283
1233,22828
1234,22808
1235,22740
1236,23466
1237,23736
1238,24249
1239,25316
1240,25686
1241,24637
1242,22147
1243,20468
1244,20025
1245,21322
1246,21225
1247,22144
1248,22564
1249,23041
1250,23931
1251,24691
1252,25290
1253,25495
1254,25818
1255,24074
1256,23353
1257,22723
1258,22835
1259,23276
1260,23251
1261,23652
1262,24073
1263,24584
1264,25011
1265,23911
1266,22026
1267,20966
1268,20595
1269,20417
1270,20591
1271,20908
1272,21787
1273,22528
1274,23398
1275,24185
1276,25203
1277,25664
1278,25592
1279,24491
1280,23056
1281,22386
1282,22921
1283,23191
1284,23530
1285,24425
1286,24572
1287,25597
1288,25486
1289,24323
1290,23312
1291,20858
1292,20084
1293,20294
1294,21018
1295,21021
1296,21504
1297,23280
1298,23853
1299,24824
1300,25460
1301,26201
1302,26391
1303,25050
1304,23303
1305,22361
1306,22172
1307,23079
1308,23908
1309,24791
1310,25693
1311,25987
1312,26348
1313,25175
1314,23707
1315,22908
1316,22632
1317,21909
1318,21811
1319,22121
1320,22869
1321,23770
1322,23965
1323,24794
1324,25182
1325,25472
1326,25962
1327,25290
1328,23732
1329,22798
1330,23397
1331,24237
1332,24765
1333,25419
1334,25554
1335,26314
1336,26621
1337,27161
1338,26272
1339,24847
1340,23969
1341,24221
1342,23686
1343,23927
1344,24207
1345,24651
1346,25720
1347,26012
1348,26377
1349,26850
1350,27157
1351,26850
1352,25098
1353,23763
1354,23782
1355,24188
1356,24990
1357,25623
1358,27072
1359,28254
1360,28521
1361,27930
1362,26923
1363,26995
1364,24868
1365,25049
1366,24911
1367,24893
1368,25018
1369,25274
1370,26356
1371,27026
1372,27065
1373,27669
1374,27828
1375,27794
1376,27167
1377,26508
1378,25710
1379,26014
1380,26657
1381,26856
1382,26957
1383,27672
1384,28420
1385,29143
1386,28467
1387,27081
1388,24973
1389,24500
1390,24411
1391,24593
1392,25018
1393,25240
1394,26107
1395,26931
1396,27537
1397,27738
1398,27799
1399,27275
1400,26045
1401,24889
1402,24619
1403,24506
1404,25381
1405,25700
1406,26252
1407,26580
1408,26981
1409,26950
1410,26490
1411,23753
1412,21845
1413,21601
1414,21392
1415,21928
1416,21758
1417,22626
1418,23873
1419,25858
1420,26485
1421,27080
1422,27625
1423,27135
1424,25128
1425,23688
1426,23667
1427,23707
1428,24169
1429,23932
1430,24452
1431,25666
1432,26962
1433,27018
1434,25143
1435,22051
1436,20743
1437,20331
1438,20073
1439,20098
1440,20274
1441,21305
1442,22737
1443,23953
1444,25144
1445,25889
1446,26109
1447,25209
1448,23006
1449,21863
1450,21591
1451,21975
1452,22489
1453,22760
1454,23414
1455,23430
1456,24183
1457,23570
1458,21585
1459,19381
1460,18445
1461,18033
1462,18089
1463,17912
1464,18204
1465,19393
1466,20113
1467,21130
1468,21893
1469,23076
1470,24022
1471,24114
1472,23515
1473,22547
1474,22771
1475,23563
1476,24141
1477,24156
1478,23860
1479,23135
1480,22144
1481,21078
1482,19795
1483,19213
1484,18889
1485,18812
1486,18774
1487,19170
1488,20101
1489,21061
1490,22069
1491,22815
1492,23307
1493,24164
1494,24848
1495,24708
1496,23736
1497,23030
1498,23050
1499,23558
1500,23776
1501,24753
1502,24533
1503,24787
1504,24087
1505,22884
1506,21388
1507,20455
1508,19872
1509,19527
1510,19479
1511,19492
1512,19587
1513,20108
1514,21001
1515,21711
1516,22849
1517,23940
1518,24278
1519,23708
1520,22774
1521,22494
1522,22713
1523,23130
1524,23868
1525,23966
1526,24711
1527,25515
1528,26914
1529,27013
1530,24822
1531,22200
1532,20926
1533,20430
1534,20315
1535,20276
1536,20407
1537,20958
1538,22446
1539,24141
1540,24580
1541,25273
1542,25543
1543,24657
1544,23193
1545,21933
1546,22001
1547,22842
1548,23420
1549,23487
1550,24083
1551,25051
1552,26232
1553,26140
1554,24378
1555,21772
1556,20141
1557,19636
1558,19323
1559,19863
1560,20422
1561,21117
1562,22336
1563,23293
1564,24124
1565,24858
1566,25230
1567,24733
1568,23417
1569,22654
1570,22697
1571,23001
1572,23360
1573,23865
1574,24116
1575,24398
1576,24964
1577,25173
1578,23759
1579,20584
1580,19329
1581,18876
1582,18824
1583,18886
1584,19357
1585,20725
1586,22124
1587,23156
1588,24881
1589,25371
1590,25720
1591,25769
1592,24362
1593,23421
1594,23511
1595,23796
1596,23851
1597,24204
1598,24055
1599,24628
1600,25240
1601,24719
1602,23155
1603,20984
1604,20038
1605,19859
1606,19968
1607,20163
1608,20199
1609,21463
1610,22387
1611,23840
1612,24683
1613,25666
1614,26076
1615,25990
1616,24775
1617,24323
1618,24614
1619,24688
1620,25102
1621,25282
1622,25763
1623,25699
1624,26336
1625,25474
1626,23627
1627,21667
1628,20429
1629,19958
1630,19887
1631,19960
1632,20118
1633,20775
1634,21315
1635,23052
1636,23893
1637,24686
1638,25060
1639,23600
1640,23303
1641,22097
1642,21890
1643,21378
1644,22068
1645,22825
1646,23409
1647,23726
1648,23281
1649,22675
1650,22288
1651,21954
1652,21063
1653,20947
1654,21795
1655,21662
1656,23022
1657,23606
1658,24259
1659,25114
1660,25499
1661,25485
1662,25199
1663,25620
1664,25030
1665,24560
1666,24207
1667,24234
1668,25062
1669,25047
1670,25059
1671,25194
1672,24755
1673,24722
1674,23197
1675,21916
1676,21445
1677,21986
1678,21856
1679,21898
1680,22315
1681,23157
1682,23741
1683,23906
1684,24457
1685,24748
1686,25511
1687,25102
1688,24205
1689,23763
1690,23649
1691,23746
1692,23696
1693,23755
1694,23628
1695,23752
1696,23865
1697,23215
1698,21825
1699,19280
1700,18175
1701,18009
1702,18079
1703,18258
1704,18646
1705,19247
1706,20862
1707,22923
1708,23936
1709,24584
1710,25414
1711,25137
1712,23860
1713,22699
1714,23911
1715,23778
1716,23890
1717,23903
1718,23459
1719,23509
1720,23979
1721,23286
1722,21762
1723,19166
1724,18135
1725,17767
1726,17821
1727,18166
1728,18583
1729,20073
1730,21281
1731,22244
1732,23246
1733,24059
1734,24304
1735,23775
1736,22558
1737,21523
1738,21489
1739,21960
1740,22116
1741,22412
1742,22304
1743,22855
1744,24027
1745,24531
1746,22485
1747,20340
1748,19019
1749,18815
1750,18571
1751,18972
1752,18877
1753,20383
1754,22009
1755,23523
1756,24318
1757,25124
1758,25341
1759,24882
1760,23843
1761,22795
1762,22891
1763,24184
1764,24843
1765,24653
1766,24345
1767,25190
1768,25190
1769,24815
1770,23108
1771,20496
1772,19001
1773,18953
1774,18566
1775,19531
1776,20116
1777,20815
1778,22258
1779,23391
1780,24284
1781,24980
1782,25369
1783,24848
1784,23698
1785,22542
1786,22113
1787,21661
1788,21724
1789,22043
1790,23771
1791,23840
1792,23632
1793,23426
1794,21993
1795,18827
1796,17431
1797,17134
1798,17012
1799,17182
1800,17389
1801,17643
1802,20103
1803,20404
1804,22252
1805,22898
1806,23449
1807,22867
1808,21929
1809,20488
1810,20293
1811,20870
1812,21063
1813,21283
1814,20846
1815,21029
1816,19447
1817,18073
1818,17226
1819,16721
1820,16652
1821,16599
1822,16631
1823,16900
1824,17327
1825,18204
1826,18989
1827,19694
1828,20151
1829,20457
1830,22370
1831,21411
1832,20737
1833,21283
1834,22032
1835,21476
1836,22583
